date,event,description
2023-12-26,Boxing Day,Public holiday
2023-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2024-01-01,New Year's Day,Public holiday
2024-02-08,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2024-02-09,Chinese New Year,Public holiday
2024-02-10,Chinese New Year,Public holiday
2024-02-14,Election Day,Public holiday
2024-03-11,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2024-03-12,Ramadan Start,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2024-03-12,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2024-03-29,Good Friday,Public holiday
2024-03-31,Easter Sunday,Public holiday
2024-04-08,Idul Fitri,Public holiday
2024-04-09,Idul Fitri,Public holiday
2024-04-10,Idul Fitri,Public holiday
2024-04-11,Idul Fitri,Public holiday
2024-04-12,Idul Fitri,Public holiday
2024-04-15,Idul Fitri,Public holiday
2024-05-01,International Labor Day,Public holiday
2024-05-09,Ascension Day of Jesus Christ,Public holiday
2024-05-10,Ascension Day of Jesus Christ,Public holiday
2024-05-23,Waisak Day,Public holiday
2024-05-24,Waisak Day,Public holiday
2024-06-01,Pancasila Day,Public holiday
2024-06-17,Idul Adha,Public holiday
2024-06-18,Idul Adha,Public holiday
2024-07-07,Islamic New Year (Muharram),Public holiday
2024-08-17,Indonesian Independence Day,Public holiday
2024-09-16,The Prophet Muhammad's Birthday (Maulid),Public holiday
2024-11-01,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2024-12-24,Christmas,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2024-12-25,Christmas,Public holiday
2024-12-26,Boxing Day,Public holiday
2024-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2025-01-01,New Year's Day,Public holiday
2025-01-28,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday\nDate is tentative and may change.
2025-01-29,Chinese New Year,Public holiday
2025-03-02,Ramadan Start,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia\nDate is tentative and may change."
2025-04-01,Idul Fitri,Public holiday\nDate is tentative and may change.
2025-04-02,Idul Fitri,Public holiday\nDate is tentative and may change.
2025-04-18,Good Friday,Public holiday
2025-04-20,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2025-05-01,International Labor Day,Public holiday
2025-05-13,Waisak Day,Public holiday\nDate is tentative and may change.
2025-05-29,Ascension Day of Jesus Christ,Public holiday
2025-06-01,Pancasila Day,Public holiday
2025-06-07,Idul Adha,Public holiday\nDate is tentative and may change.
2025-06-27,Islamic New Year (Muharram),Public holiday\nDate is tentative and may change.
2025-08-17,Indonesian Independence Day,Public holiday
2025-09-05,The Prophet Muhammad's Birthday (Maulid),Public holiday\nDate is tentative and may change.
2025-10-21,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2025-12-24,Christmas,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2025-12-25,Christmas,Public holiday
2025-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
